variant,family,strategy,eval_start,CAGR,Vol,Sharpe,Sortino,MDD,Calmar,UpCap,DnCap,Turnover/yr,AvgExp
vix,vol,strat_vix,1990-01-31,7.75%,9.27%,0.559,0.785,-28.33%,0.274,58.91%,64.46%,4.30,0.684
vix,vol,ee(0.684),1990-01-31,8.86%,12.32%,0.531,0.758,-40.63%,0.218,66.95%,70.23%,0.43,0.684
realized,vol,strat_realized,1990-01-31,9.43%,11.48%,0.607,0.854,-37.42%,0.252,73.17%,75.95%,2.27,0.812
realized,vol,ee(0.812),1990-01-31,9.86%,14.62%,0.531,0.757,-46.91%,0.210,79.83%,82.69%,0.31,0.812
blend,vol,strat_blend,1990-01-31,8.46%,10.28%,0.578,0.811,-32.06%,0.264,65.34%,70.09%,2.46,0.751
blend,vol,ee(0.751),1990-01-31,9.39%,13.52%,0.531,0.757,-43.97%,0.214,73.61%,76.81%,0.38,0.751
credit,credit,strat_credit,1990-01-31,8.08%,10.66%,0.528,0.744,-30.81%,0.262,57.00%,59.55%,7.46,0.665
credit,credit,ee(0.665),1990-01-31,8.70%,11.97%,0.531,0.758,-39.62%,0.220,65.02%,68.26%,0.44,0.665
ma200,trend,strat_ma200,1990-01-31,9.82%,11.71%,0.627,0.880,-20.73%,0.474,67.55%,65.72%,6.14,0.780
ma200,trend,ee(0.780),1990-01-31,9.62%,14.05%,0.531,0.757,-45.41%,0.212,76.63%,79.69%,0.35,0.780
tsmom12,trend,strat_tsmom12,1990-01-31,10.77%,13.34%,0.631,0.880,-31.32%,0.344,76.71%,73.63%,2.84,0.825
tsmom12,trend,ee(0.825),1990-01-31,9.96%,14.86%,0.531,0.757,-47.54%,0.210,81.23%,83.98%,0.30,0.825
